VCHAN_37_14_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_15_0, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
VCHAN_37_16_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_16_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_17_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_17_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_18_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_18_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_19_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_20_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_20_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_21_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_21_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_22_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_24_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_25_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_26_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_27_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_31_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_33_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_34_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_34_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_35_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_35_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_36_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_37_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_37_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_38_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_38_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_39_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_40_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_40_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_41_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_42_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_43_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_43_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_44_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_44_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_45_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_45_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_46_0, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
VCHAN_37_46_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_47_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_47_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_48_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_48_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_49_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_2_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_3_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_3_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_5_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_6_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_11_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_12_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_13_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_13_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_14_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_15_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_16_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_17_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_19_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_19_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_20_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_21_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_26_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_28_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_31_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_33_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_38_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_39_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_39_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_40_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_40_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_41_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_41_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_42_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_38_42_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
